BPF error,BPF num_sims, BPF success, TAF error, TAF num_sims, TAF success, SNL error, SNL num_sims, SNL success, num_timesteps, num_mcmc_steps, num_reps, lag, num_samples, num_rounds, num_particles, num_iters
12.124982,6.0,0.8,-0.5113732,3.0,1.0,nan,3.0,0.0,100,1000,10,10,10,1,10,1
1.7791115,6.69897,1.0,-0.3399476,3.6989696,1.0,0.070720516,3.6989696,1.0,100,1000,10,10,50,1,50,1
-0.34392223,6.9999995,1.0,-0.20964657,3.9999998,1.0,-0.22501974,3.9999998,1.0,100,1000,10,10,100,1,100,1
-0.5441836,7.176091,1.0,-0.2411815,4.176091,1.0,-0.16883904,4.176091,1.0,100,1000,10,10,150,1,150,1
2.239891,6.477121,1.0,0.046891373,3.477121,1.0,nan,3.477121,0.0,100,1000,10,10,30,1,30,1
2.9873385,6.60206,0.9,-0.37370133,3.6020596,1.0,2.7305784,3.6020596,0.7,100,1000,10,10,40,1,40,1
-0.4489641,7.3010297,1.0,-0.30917415,4.3010297,1.0,-0.5829623,4.3010297,1.0,100,1000,10,10,200,1,200,1
